iter	Passed	Remaining
406	5749	50760
407	5763	50745
408	5778	50734
409	5791	50714
410	5805	50691
411	5818	50670
412	5831	50652
413	5846	50639
414	5859	50621
415	5872	50597
416	5886	50577
417	5899	50556
418	5915	50554
419	5929	50540
420	5943	50530
421	5956	50506
422	5969	50476
423	5982	50459
424	5996	50437
425	6010	50422
426	6021	50386
427	6036	50381
428	6049	50359
429	6064	50351
430	6078	50332
431	6092	50320
432	6106	50307
433	6120	50291
434	6134	50274
435	6148	50260
436	6161	50239
437	6175	50222
438	6189	50208
439	6203	50188
440	6217	50179
441	6231	50160
442	6244	50135
443	6257	50118
444	6272	50105
445	6285	50088
446	6299	50072
447	6313	50053
448	6326	50032
449	6341	50024
450	6355	50009
451	6371	50011
452	6384	49994
453	6398	49974
454	6411	49951
455	6425	49936
456	6439	49923
457	6452	49904
458	6465	49881
459	6479	49860
460	6492	49841
461	6505	49821
462	6519	49806
463	6533	49787
464	6546	49770
465	6561	49758
466	6575	49746
467	6588	49720
468	6600	49696
469	6614	49680
470	6628	49667
471	6643	49655
472	6657	49646
473	6670	49624
474	6684	49605
475	6697	49580
476	6712	49577
477	6727	49567
478	6741	49551
479	6755	49539
480	6770	49534
481	6784	49517
482	6798	49501
483	6813	49497
484	6828	49488
485	6843	49484
486	6857	49469
487	6872	49458
488	6886	49446
489	6901	49435
490	6915	49422
491	6929	49408
492	6943	49396
493	6959	49390
494	6973	49381
495	6989	49378
496	7003	49365
497	7017	49348
498	7032	49342
499	7046	49325
500	7060	49311
501	7074	49294
502	7089	49287
503	7103	49276
504	7119	49273
505	7133	49260
506	7148	49249
507	7164	49246
508	7178	49232
509	7191	49211
510	7207	49213
511	7222	49202
512	7237	49196
513	7252	49190
514	7267	49177
515	7281	49167
516	7296	49155
517	7312	49152
518	7326	49141
519	7341	49131
520	7355	49118
521	7369	49104
522	7383	49084
523	7397	49073
524	7412	49064
525	7426	49051
526	7444	49057
527	7458	49047
528	7473	49037
529	7490	49041
530	7505	49036
531	7520	49026
532	7534	49006
533	7548	48995
534	7562	48982
535	7577	48972
536	7591	48958
537	7605	48942
538	7618	48922
539	7633	48912
540	7646	48890
541	7660	48877
542	7674	48860
543	7687	48838
544	7701	48824
545	7716	48815
546	7730	48798
547	7744	48782
548	7757	48762
549	7769	48737
550	7783	48723
551	7798	48711
552	7812	48696
553	7825	48678
554	7843	48683
555	7856	48666
556	7870	48650
557	7883	48630
558	7897	48612
559	7910	48594
560	7924	48579
561	7940	48572
562	7954	48563
563	7969	48551
564	7983	48538
565	7997	48519
566	8010	48503
567	8025	48491
568	8039	48476
569	8054	48467
570	8068	48454
571	8081	48434
572	8096	48423
573	8110	48407
574	8123	48388
575	8137	48372
576	8151	48355
577	8165	48340
578	8178	48324
579	8192	48308
580	8206	48289
581	8221	48282
582	8234	48265
583	8249	48254
584	8262	48236
585	8277	48221
586	8291	48207
587	8305	48196
588	8320	48184
589	8335	48176
590	8349	48163
591	8363	48146
592	8377	48129
593	8391	48115
594	8404	48098
595	8418	48081
596	8431	48063
597	8445	48048
598	8459	48028
599	8472	48012
600	8486	47996
601	8501	47984
602	8516	47977
603	8530	47960
604	8544	47947
605	8557	47928
606	8571	47912
607	8586	47901
608	8600	47887
609	8614	47872
610	8628	47861
611	8642	47843
612	8657	47834
613	8671	47821
614	8685	47806
615	8699	47791
616	8712	47772
617	8726	47753
618	8739	47732
619	8752	47713
620	8765	47697
621	8780	47684
622	8793	47666
623	8807	47653
624	8821	47635
625	8835	47618
626	8848	47599
627	8861	47583
628	8875	47568
629	8888	47545
630	8903	47537
631	8916	47516
632	8929	47497
633	8944	47490
634	8958	47472
635	8972	47456
636	8986	47443
637	9000	47428
